Developed_Or_Developing,Country_ID,Country_Abbreviation,Country_Name
Developing,12,DZA,Algeria
Developing,818,EGY,Egypt
Developing,434,LBY,Libya
Developing,504,MAR,Morocco
Developing,729,SDN,Sudan
Developing,788,TUN,Tunisia
Developing,732,ESH,Western Sahara
Developing,86,IOT,British Indian Ocean Territory
Developing,108,BDI,Burundi
Developing,174,COM,Comoros
Developing,262,DJI,Djibouti
Developing,232,ERI,Eritrea
Developing,231,ETH,Ethiopia
Developing,260,ATF,French Southern Territories
Developing,404,KEN,Kenya
Developing,450,MDG,Madagascar
Developing,454,MWI,Malawi
Developing,480,MUS,Mauritius
Developing,175,MYT,Mayotte
Developing,508,MOZ,Mozambique
Developing,638,REU,Réunion
Developing,646,RWA,Rwanda
Developing,690,SYC,Seychelles
Developing,706,SOM,Somalia
Developing,728,SSD,South Sudan
Developing,800,UGA,Uganda
Developing,834,TZA,United Republic of Tanzania
Developing,894,ZMB,Zambia
Developing,716,ZWE,Zimbabwe
Developing,24,AGO,Angola
Developing,120,CMR,Cameroon
Developing,140,CAF,Central African Republic
Developing,148,TCD,Chad
Developing,178,COG,Congo
Developing,180,COD,Democratic Republic of the Congo
Developing,226,GNQ,Equatorial Guinea
Developing,266,GAB,Gabon
Developing,678,STP,Sao Tome and Principe
Developing,72,BWA,Botswana
Developing,748,SWZ,Eswatini
Developing,426,LSO,Lesotho
Developing,516,NAM,Namibia
Developing,710,ZAF,South Africa
Developing,204,BEN,Benin
Developing,854,BFA,Burkina Faso
Developing,132,CPV,Cabo Verde
Developing,384,CIV,Côte d’Ivoire
Developing,270,GMB,Gambia
Developing,288,GHA,Ghana
Developing,324,GIN,Guinea
Developing,624,GNB,Guinea-Bissau
Developing,430,LBR,Liberia
Developing,466,MLI,Mali
Developing,478,MRT,Mauritania
Developing,562,NER,Niger
Developing,566,NGA,Nigeria
Developing,654,SHN,Saint Helena
Developing,686,SEN,Senegal
Developing,694,SLE,Sierra Leone
Developing,768,TGO,Togo
Developing,660,AIA,Anguilla
Developing,28,ATG,Antigua and Barbuda
